Frequency (Hz)	Level (dB)
15331.640625	-101.707230
15374.707031	-101.211060
15417.773438	-99.402122
15460.839844	-99.597717
15503.906250	-101.102776
15546.972656	-102.523270
15590.039062	-103.213120
15633.105469	-103.486694
15676.171875	-101.372238
15719.238281	-101.797890
15762.304688	-103.619759
15805.371094	-102.400032
15848.437500	-100.587387
15891.503906	-102.318245
15934.570312	-102.347298
15977.636719	-101.073074
16020.703125	-101.450439
16063.769531	-101.382103
16106.835938	-100.107643
16149.902344	-100.361252
16192.968750	-100.811928
16236.035156	-101.034241
16279.101562	-100.429047
16322.167969	-101.031311
16365.234375	-101.496277
16408.300781	-100.831032
16451.367188	-100.908722
16494.433594	-100.995117
16537.500000	-101.450928
16580.566406	-101.314743
16623.632812	-101.544044
16666.699219	-101.528931
16709.765625	-102.078079
16752.832031	-101.928963
16795.898438	-101.873238
16838.964844	-101.776184
16882.031250	-102.212196
16925.097656	-101.700035
16968.164062	-101.319054
17011.230469	-101.536766
17054.296875	-102.131470
17097.363281	-102.099121
17140.429688	-102.535950
17183.496094	-102.732094
17226.562500	-102.234703
17269.628906	-102.686310
17312.695312	-104.169876
17355.761719	-103.781631
17398.828125	-103.373116
17441.894531	-104.511948
17484.960938	-104.896446
17528.027344	-105.177750
17571.093750	-105.092781
17614.160156	-105.291359
17657.226562	-105.525932
17700.292969	-105.016487
17743.359375	-104.474350
17786.425781	-104.886017
17829.492188	-105.157837
17872.558594	-104.756966
17915.625000	-104.796288
17958.691406	-104.908638
18001.757812	-103.840851
18044.824219	-103.948547
18087.890625	-104.344536
18130.957031	-104.148537
18174.023438	-104.037231
18217.089844	-104.375374
18260.156250	-104.350311
18303.222656	-103.879753
18346.289062	-103.896011
18389.355469	-104.270721
18432.421875	-104.245010
18475.488281	-104.334427
18518.554688	-104.496758
18561.621094	-104.302620
18604.687500	-104.360214
18647.753906	-104.556381
18690.820312	-104.442024
18733.886719	-104.664085
18776.953125	-104.909157
18820.019531	-104.714729
18863.085938	-104.823570
18906.152344	-104.790077
18949.218750	-104.921188
18992.285156	-104.604637
19035.351562	-104.761856
19078.417969	-105.231644
19121.484375	-105.364883
19164.550781	-105.246864
19207.617188	-105.540497
19250.683594	-105.489838
19293.750000	-105.304291
19336.816406	-105.322350
19379.882812	-105.591438
19422.949219	-105.566040
19466.015625	-105.614159
19509.082031	-105.821182
19552.148438	-105.801285
19595.214844	-105.621391
19638.281250	-105.244385
19681.347656	-105.452332
19724.414062	-105.546318
19767.480469	-105.747467
19810.546875	-105.842140
19853.613281	-105.840996
19896.679688	-105.808479
19939.746094	-105.923904
19982.812500	-105.805466
20025.878906	-105.772659
20068.945312	-105.839272
20112.011719	-104.770683
20155.078125	-105.522232
20198.144531	-106.428680
20241.210938	-106.299522
20284.277344	-106.297729
20327.343750	-106.531075
20370.410156	-106.561249
20413.476562	-106.446289
20456.542969	-106.717377
20499.609375	-106.676971
20542.675781	-106.914040
20585.742188	-107.365837
20628.808594	-107.358086
20671.875000	-107.398895
20714.941406	-107.687241
20758.007812	-107.922142
20801.074219	-108.122963
20844.140625	-108.324753
20887.207031	-108.436440
20930.273438	-108.729202
20973.339844	-109.125214
21016.406250	-109.586441
21059.472656	-109.663712
21102.539062	-109.748894
21145.605469	-110.179344
21188.671875	-110.585030
21231.738281	-110.790688
21274.804688	-111.347313
21317.871094	-111.572319
21360.937500	-111.786102
21404.003906	-112.246262
21447.070312	-112.659233
21490.136719	-112.901855
21533.203125	-113.488930
21576.269531	-114.015556
21619.335938	-113.936417
21662.402344	-114.516487
21705.468750	-115.071335
21748.535156	-115.517052
21791.601562	-115.344040
21834.667969	-115.844940
21877.734375	-116.239166
21920.800781	-116.575905
21963.867188	-116.542603
22006.933594	-116.498573
