Frequency (Hz)	Level (dB)
19810.546875	-105.284096
19853.613281	-105.502815
19896.679688	-105.769287
19939.746094	-105.822510
19982.812500	-105.655548
20025.878906	-105.801392
20068.945312	-105.640343
20112.011719	-105.601257
20155.078125	-105.006638
20198.144531	-103.643288
20241.210938	-105.480469
20284.277344	-106.317680
20327.343750	-106.494514
20370.410156	-106.546532
20413.476562	-106.736290
20456.542969	-106.877708
20499.609375	-106.900055
20542.675781	-107.081024
20585.742188	-107.284897
20628.808594	-107.321411
20671.875000	-107.520088
20714.941406	-107.621292
20758.007812	-107.842400
20801.074219	-108.021591
20844.140625	-108.321213
20887.207031	-108.446930
20930.273438	-108.744392
20973.339844	-109.115906
21016.406250	-109.324036
21059.472656	-109.595657
21102.539062	-109.996391
21145.605469	-110.248039
21188.671875	-110.626312
21231.738281	-110.956223
21274.804688	-111.187149
21317.871094	-111.565910
21360.937500	-111.855545
21404.003906	-112.266510
21447.070312	-112.521843
21490.136719	-113.048531
21533.203125	-113.392334
21576.269531	-113.777275
21619.335938	-114.285385
21662.402344	-114.555138
21705.468750	-114.828705
21748.535156	-115.385216
21791.601562	-115.493385
21834.667969	-115.632301
21877.734375	-115.872833
21920.800781	-116.075027
21963.867188	-116.200287
22006.933594	-116.568466
