Frequency (Hz)	Level (dB)
17011.230469	-102.393402
17054.296875	-103.605484
17097.363281	-103.153702
17140.429688	-102.486748
17183.496094	-102.443031
17226.562500	-103.239578
17269.628906	-103.211388
17312.695312	-102.630867
17355.761719	-103.085976
17398.828125	-103.495644
17441.894531	-103.212959
17484.960938	-103.003860
17528.027344	-103.169952
17571.093750	-103.909767
17614.160156	-103.768883
17657.226562	-103.430687
17700.292969	-103.831276
17743.359375	-103.797752
17786.425781	-102.934349
17829.492188	-102.876678
17872.558594	-103.762764
17915.625000	-104.118042
17958.691406	-103.580177
18001.757812	-103.822800
18044.824219	-104.268425
18087.890625	-103.990791
18130.957031	-103.614914
18174.023438	-103.973091
18217.089844	-104.149971
18260.156250	-103.979645
18303.222656	-104.005424
18346.289062	-104.221107
18389.355469	-104.173256
18432.421875	-103.887253
18475.488281	-104.137924
18518.554688	-104.462822
18561.621094	-104.638466
18604.687500	-104.590462
18647.753906	-104.553474
18690.820312	-104.857224
18733.886719	-105.118530
18776.953125	-104.909943
18820.019531	-104.847336
18863.085938	-105.086884
18906.152344	-105.140366
18949.218750	-105.021667
18992.285156	-105.170090
19035.351562	-105.191772
19078.417969	-105.290443
19121.484375	-105.172630
19164.550781	-105.314354
19207.617188	-105.299538
19250.683594	-105.267578
19293.750000	-105.270813
19336.816406	-105.395187
19379.882812	-105.616417
19422.949219	-105.328896
19466.015625	-105.286163
19509.082031	-105.464104
19552.148438	-105.502121
19595.214844	-105.508316
19638.281250	-105.428787
19681.347656	-105.530312
19724.414062	-105.120682
19767.480469	-104.665581
19810.546875	-105.501144
19853.613281	-105.609718
19896.679688	-105.662125
19939.746094	-105.665619
19982.812500	-105.627014
20025.878906	-105.737129
20068.945312	-105.645538
20112.011719	-105.657562
20155.078125	-105.037109
20198.144531	-104.764740
20241.210938	-106.071869
20284.277344	-106.359261
20327.343750	-106.488411
20370.410156	-106.543587
20413.476562	-106.730522
20456.542969	-106.720055
20499.609375	-106.791847
20542.675781	-107.050171
20585.742188	-107.197021
20628.808594	-107.378761
20671.875000	-107.644501
20714.941406	-107.741989
20758.007812	-107.811722
20801.074219	-108.024117
20844.140625	-108.365250
20887.207031	-108.622078
20930.273438	-108.788910
20973.339844	-109.062660
21016.406250	-109.255791
21059.472656	-109.540695
21102.539062	-109.953011
21145.605469	-110.316589
21188.671875	-110.511230
21231.738281	-110.716026
21274.804688	-111.097298
21317.871094	-111.637238
21360.937500	-111.842087
21404.003906	-112.194435
21447.070312	-112.565811
21490.136719	-112.910843
21533.203125	-113.194466
21576.269531	-113.595001
21619.335938	-114.207863
21662.402344	-114.403481
21705.468750	-114.720558
21748.535156	-115.136612
21791.601562	-115.405464
21834.667969	-115.537140
21877.734375	-115.838539
21920.800781	-116.031349
21963.867188	-116.192093
22006.933594	-116.340057
